ID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,nufnu_5keV(erg.s-1.cm-2),nufnu_error_5keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2)
721,02:42:01.400,+01:14:05.541,3.09e+20,1.272,+0.22/-0.16,8.65429e-14,8.47704e-15,1.35855e-13,1.98897e-14,-999.0,1.4895799999999998e-13,2.3312099999999998e-14,-999.0,8.76508e-14,2.0971599999999997e-14,-999.0
722,02:41:48.524,+01:22:34.879,3.17e+20,0.943,+0.30/-0.22,7.86594e-14,1.3955700000000002e-14,1.0698299999999999e-13,2.3563099999999997e-14,-999.0,8.492889999999999e-14,-3.86969e-11,3.88025e-11,1.0711199999999999e-13,3.34135e-14,-999.0
723,02:42:17.369,+01:06:40.777,3.14e+20,0.603,+0.33/-0.23,1.39408e-13,2.38236e-14,8.444010000000001e-14,2.0749200000000002e-14,-999.0,4.23388e-14,1.76412e-14,-999.0,1.3266199999999998e-13,3.82516e-14,-999.0
701,02:42:04.023,+01:22:45.577,3.18e+20,0.8,-999/-999,2.71629e-13,4.6352999999999996e-14,2.2137399999999998e-13,5.36816e-14,-999.0,3.1339099999999996e-13,7.59951e-14,-999.0,3.16038e-13,-1.61577e-10,8.87947e-11
732,02:41:20.660,+01:19:12.236,3.03e+20,0.8,-999/-999,1.7355000000000002e-14,6.7636799999999995e-15,1.09301e-14,-1.09425e-11,2.35055e-11,2.29646e-14,1.1884399999999999e-14,-999.0,2.60876e-14,1.54316e-14,-999.0
737,02:34:57.186,+00:49:09.822,2.18e+20,1.235,+0.49/-0.29,2.68276e-14,5.08098e-15,2.86435e-14,9.47688e-15,-999.0,5.807970000000001e-14,1.55962e-14,-999.0,2.7060000000000003e-14,1.24583e-14,-999.0
763,02:34:37.332,+00:46:12.744,2.17e+20,0.87,+0.32/-0.23,6.76579e-14,1.2724799999999999e-14,7.85619e-14,1.79429e-14,-999.0,5.83283e-14,-3.28788e-11,7.71642e-11,8.79303e-14,2.8364799999999996e-14,-999.0
739,02:34:51.278,+00:56:32.906,2.16e+20,0.8,-999/-999,3.38755e-14,8.0514e-15,4.2252499999999995e-14,1.13014e-14,-999.0,1.6005200000000002e-14,-1.89985e-11,4.64838e-11,2.44585e-14,1.30797e-14,-999.0
740,02:34:21.659,+00:50:59.905,2.14e+20,0.8,-999/-999,1.21978e-14,5.0656599999999996e-15,1.14065e-14,6.18269e-15,-999.0,1.15335e-14,7.579850000000001e-15,-999.0,8.81099e-15,-1.8284000000000002e-11,7.09939e-11
759,02:34:22.963,+00:46:13.093,2.15e+20,-0.013000000000000001,+0.24/-0.18,1.19796e-13,2.33585e-14,2.74868e-14,-1.21065e-11,3.17377e-11,3.006e-14,1.18565e-14,-999.0,1.5466e-13,3.479369999999999e-14,-999.0
742,02:34:35.001,+00:58:23.285,2.14e+20,0.8,-999/-999,1.92048e-14,6.40657e-15,5.98534e-15,4.53892e-15,-999.0,9.07611e-15,-1.51245e-11,4.65071e-11,5.5492499999999997e-14,2.06899e-14,-999.0
743,02:35:11.690,+00:55:12.001,2.18e+20,0.8,-999/-999,3.8526e-14,9.25102e-15,2.00512e-14,8.303239999999999e-15,-999.0,3.03235e-14,1.2557e-14,-999.0,4.63405e-14,1.9189700000000002e-14,-999.0
758,02:34:14.553,+00:57:07.455,2.12e+20,0.868,+0.16/-0.13,1.52291e-13,1.3006999999999999e-14,1.16755e-13,1.4734e-14,-999.0,1.2108599999999998e-13,1.83484e-14,-999.0,1.48522e-13,2.49703e-14,-999.0
754,02:33:59.950,+00:49:39.077,2.12e+20,1.119,+0.43/-0.28,2.05162e-14,3.74212e-15,2.04482e-14,6.0375100000000006e-15,-999.0,3.2139999999999996e-14,8.99618e-15,-999.0,2.05028e-14,8.604600000000001e-15,-999.0
757,02:34:10.569,+00:58:29.421,2.11e+20,0.8,-999/-999,2.33514e-14,5.80437e-15,6.05402e-15,3.71023e-15,-999.0,2.76062e-14,9.80505e-15,-999.0,2.81435e-14,1.1996899999999999e-14,-999.0
756,02:33:59.440,+00:47:58.377,2.07e+20,0.8,-999/-999,1.2899299999999999e-14,4.0124699999999995e-15,6.678780000000001e-15,3.58295e-15,-999.0,1.0176700000000001e-14,5.45947e-15,-999.0,1.5569799999999998e-14,8.35271e-15,-999.0
762,02:34:08.593,+01:06:17.909,2.08e+20,0.8,-999/-999,3.24398e-13,2.52739e-14,3.3617800000000004e-13,3.14228e-14,-999.0,2.55907e-13,3.58846e-14,-999.0,3.23883e-13,-9.13847e-11,1.69099e-11
749,02:33:22.537,+00:50:59.498,2.06e+20,1.143,+0.16/-0.13,1.10821e-13,8.538509999999999e-15,1.03117e-13,1.37417e-14,-999.0,1.99156e-13,2.24084e-14,-999.0,1.10629e-13,2.00556e-14,-999.0
750,02:33:13.601,+00:55:31.455,2.06e+20,0.732,+0.30/-0.21,5.66125e-14,8.62946e-15,3.3948599999999996e-14,7.9441e-15,-999.0,3.5150199999999996e-14,9.96811e-15,-999.0,5.44428e-14,1.54393e-14,-999.0
751,02:33:29.683,+00:58:15.627,2.06e+20,0.8,-999/-999,4.26219e-14,6.98232e-15,4.6343599999999997e-14,9.03574e-15,-999.0,3.0273400000000006e-14,9.05353e-15,-999.0,4.4125400000000005e-14,-2.52676e-11,3.55791e-11
752,02:33:56.431,+00:55:27.327,2.1e+20,0.8,-999/-999,1.1006000000000001e-14,3.719250000000001e-15,3.4250199999999998e-15,2.65902e-15,-999.0,1.56208e-14,6.89372e-15,-999.0,7.96551e-15,6.18403e-15,-999.0
753,02:33:53.075,+00:58:20.237,2.09e+20,0.8,-999/-999,2.52824e-14,5.6513599999999996e-15,1.96476e-14,6.13684e-15,-999.0,2.98967e-14,9.338100000000001e-15,-999.0,1.82988e-14,-2.04301e-11,4.43961e-11
755,02:33:48.427,+00:45:58.237,2.07e+20,-0.087,+0.44/-0.28,3.67233e-14,1.1439100000000001e-14,6.64627e-15,-5.42985e-12,3.09822e-11,8.69205e-15,5.41386e-15,-999.0,4.5048e-14,1.63729e-14,-999.0
760,02:34:28.168,+00:59:57.411,2.12e+20,0.8,-999/-999,2.42674e-14,7.14624e-15,1.8895500000000003e-14,7.84609e-15,-999.0,1.4343200000000003e-14,-1.68774e-11,3.8753e-11,4.38765e-14,1.8219099999999998e-14,-999.0
761,02:33:51.700,+01:08:11.719,2.08e+20,0.769,+0.06/-0.06,1.3797200000000001e-12,5.2720400000000005e-14,7.75204e-13,4.7913300000000006e-14,-999.0,1.08218e-12,7.08635e-14,-999.0,1.33164e-12,9.64271e-14,-999.0
