NAME,ORIG_TARGET_ID,TARGET_ID,RA,DEC,START_TIME,STOP_TIME,ORIG_OBS_SEGM,OBS_SEGMENT,ORIG_OBSID,OBSID,XRT_EXPOSURE,XRT_EXPO_PC,ARCHIVE_DATE,PROCESSING_DA,PROCESSING_DATE,PROCESSING_VE
NON-SCIENCEDATA,60090,60090,0.640524,0.2784,1/12/2004,2/12/2004,0,0,60090000,60090000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60092,60092,0.640524,0.2784,1/12/2004,2/12/2004,0,0,60092000,60092000,0,0,8/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60094,60094,0.640524,0.2784,2/12/2004,2/12/2004,0,0,60094000,60094000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60096,60096,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60096000,60096000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60098,60098,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60098000,60098000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60100,60100,0.640524,0.2784,2/12/2004,3/12/2004,0,0,60100000,60100000,0,0,9/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60102,60102,0.640524,0.2784,3/12/2004,3/12/2004,0,0,60102000,60102000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60104,60104,0.640524,0.2784,3/12/2004,3/12/2004,0,0,60104000,60104000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60106,60106,0.640524,0.2784,3/12/2004,4/12/2004,0,0,60106000,60106000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60108,60108,0.640524,0.2784,3/12/2004,4/12/2004,0,0,60108000,60108000,0,0,10/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60110,60110,0.640524,0.2784,4/12/2004,4/12/2004,0,0,60110000,60110000,0,0,11/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60112,60112,0.640524,0.2784,4/12/2004,4/12/2004,0,0,60112000,60112000,0,0,11/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60114,60114,0.640524,0.2784,4/12/2004,5/12/2004,0,0,60114000,60114000,0,0,11/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60116,60116,0.640524,0.2784,4/12/2004,5/12/2004,0,0,60116000,60116000,0,0,11/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60118,60118,0.640524,0.2784,5/12/2004,5/12/2004,0,0,60118000,60118000,0,0,12/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60120,60120,0.640524,0.2784,5/12/2004,5/12/2004,0,0,60120000,60120000,0,0,12/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60122,60122,0.640524,0.2784,5/12/2004,6/12/2004,0,0,60122000,60122000,33,0,12/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
NON-SCIENCEDATA,60124,60124,0.640524,0.2784,5/12/2004,6/12/2004,0,0,60124000,60124000,0,0,12/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60126,60126,0.640524,0.2784,6/12/2004,6/12/2004,0,0,60126000,60126000,0,0,13/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,12/11/2006,3.7.6
NON-SCIENCEDATA,60128,60128,0.640524,0.2784,6/12/2004,6/12/2004,0,0,60128000,60128000,0,0,13/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60130,60130,0.640524,0.2784,6/12/2004,7/12/2004,0,0,60130000,60130000,220,18,13/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60132,60132,0.640524,0.2784,6/12/2004,7/12/2004,0,0,60132000,60132000,0,0,13/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60134,60134,0.640524,0.2784,7/12/2004,7/12/2004,0,0,60134000,60134000,1014,0,14/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60136,60136,0.640524,0.2784,7/12/2004,7/12/2004,0,0,60136000,60136000,1460,0,14/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60138,60138,0.640524,0.2784,7/12/2004,8/12/2004,0,0,60138000,60138000,4074,2704,14/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60140,60140,0.640524,0.2784,7/12/2004,8/12/2004,0,0,60140000,60140000,10642,8751,14/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60142,60142,0.640524,0.2784,8/12/2004,8/12/2004,0,0,60142000,60142000,6665,2201,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60144,60144,0.640524,0.2784,8/12/2004,8/12/2004,0,0,60144000,60144000,3210,0,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
AUTOMATICTARGET,100005,100005,0.640524,0.2784,8/12/2004,8/12/2004,0,0,100005000,100005000,0,0,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,9/1/2007,3.8.2
AUTOMATICTARGET,100006,100006,0.640524,0.2784,8/12/2004,8/12/2004,0,0,100006000,100006000,0,0,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,9/1/2007,3.8.2
NON-SCIENCEDATA,60146,60146,0.640524,0.2784,8/12/2004,9/12/2004,0,0,60146000,60146000,3892,2716,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60148,60148,0.640524,0.2784,8/12/2004,9/12/2004,0,0,60148000,60148000,12749,9399,15/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60150,60150,0.640524,0.2784,9/12/2004,9/12/2004,0,0,60150000,60150000,7307,2931,16/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60152,60152,0.640524,0.2784,9/12/2004,10/12/2004,0,0,60152000,60152000,6332,1080,16/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
NON-SCIENCEDATA,60154,60154,0.640524,0.2784,9/12/2004,10/12/2004,0,0,60154000,60154000,1007,0,16/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60156,60156,0.640524,0.2784,9/12/2004,10/12/2004,0,0,60156000,60156000,12687,9569,16/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
NON-SCIENCEDATA,60158,60158,0.640524,0.2784,10/12/2004,10/12/2004,0,0,60158000,60158000,6716,0,17/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,15/11/2006,3.7.6
NON-SCIENCEDATA,60160,60160,0.640524,0.2784,10/12/2004,10/12/2004,0,0,60160000,60160000,6422,0,17/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
HR1099,50850,50850,54.131782,0.565963,12/12/2004,13/12/2004,1,1,50850001,50850001,876,0,19/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
HR1099,50850,50850,54.16425,0.5851729999999999,20/12/2004,20/12/2004,2,2,50850002,50850002,5295,0,27/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
CYGGRID_26,58426,58426,333.043142,0.493273,21/12/2004,21/12/2004,1,1,58426001,58426001,5541,5541,28/12/2004,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,13/11/2006,3.7.6
CASE10B2,66616,66616,23.255744,-0.010581,29/12/2004,29/12/2004,1,1,66616001,66616001,0,0,5/1/2005,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
CASE10B2,66616,66616,23.265656,0.007133,29/12/2004,29/12/2004,2,2,66616002,66616002,0,0,5/1/2005,HEA_20JULY2006_V6.1_SWIFT_REL2.5A(BLD19)_22SEP2006,14/11/2006,3.7.6
XRT-COLD,67024,67024,345.0,0.5,7/1/2005,7/1/2005,1,1,67024001,67024001,1810,1805,18/1/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,2/9/2014,3.16.06
XRT-COLD,67024,67024,344.98584,0.508572,9/1/2005,9/1/2005,12,12,67024012,67024012,458,458,20/1/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,2/9/2014,3.16.06
SA95SW,54350,54350,58.291415,0.042965,5/2/2005,5/2/2005,1,1,54350001,54350001,1385,636,16/2/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
SA95SW,54350,54350,58.286017,0.038871,6/2/2005,6/2/2005,2,2,54350002,54350002,2270,2065,17/2/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
SA95SW,54350,54350,58.294247,0.046781,7/2/2005,7/2/2005,3,3,54350003,54350003,835,684,18/2/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
GD50(CLOCKED),54300,54300,57.176436,-0.966655,11/2/2005,11/2/2005,1,1,54300001,54300001,0,0,22/2/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
GD50(OFFSET),54301,54301,57.23082700000001,-0.906018,11/2/2005,11/2/2005,1,1,54301001,54301001,0,0,22/2/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
HR1099,50850,50850,54.174176,0.614375,18/2/2005,18/2/2005,8,8,50850008,50850008,9075,0,1/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
HR1099,50850,50850,54.194616,0.5619350000000001,22/2/2005,25/2/2005,9,9,50850009,50850009,14101,75,5/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
HR1099,50850,50850,54.19161800000001,0.562783,24/2/2005,25/2/2005,10,10,50850010,50850010,6117,155,7/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,27/9/2014,3.16.06
SA95SW,54350,54350,58.310456,0.087848,11/3/2005,11/3/2005,5,5,54350005,54350005,557,54,22/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
SA95SW,54350,54350,58.32029300000001,0.006194,11/3/2005,12/3/2005,4,4,54350004,54350004,4192,2832,22/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(OFFSET),54301,54301,57.252456,-0.933484,12/3/2005,12/3/2005,3,3,54301003,54301003,485,0,23/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(OFFSET),54301,54301,57.261774,-0.920168,12/3/2005,12/3/2005,2,2,54301002,54301002,4268,864,23/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(OFFSET),54302,54302,57.159,-0.925,12/3/2005,12/3/2005,2,2,54302002,54302002,0,0,23/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(CLOCKED),54300,54300,57.20633,-0.984436,12/3/2005,13/3/2005,3,3,54300003,54300003,408,0,23/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(CLOCKED),54300,54300,57.20914499999999,-0.973389,12/3/2005,13/3/2005,2,2,54300002,54300002,3967,1276,23/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,9/10/2014,3.16.06
GD50(CLOCKED),54300,54300,57.202676,-0.980535,13/3/2005,13/3/2005,5,5,54300005,54300005,78,0,24/3/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(CLOCKED),54300,54300,57.192522,-0.987198,24/3/2005,24/3/2005,8,8,54300008,54300008,22,0,4/4/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
GD50(CLOCKED),54300,54300,57.213753,-0.97085,24/3/2005,24/3/2005,9,9,54300009,54300009,3889,3362,4/4/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
SA95SW,54350,54350,58.334041000000006,0.00804,27/3/2005,27/3/2005,9,9,54350009,54350009,1577,1521,7/4/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
SA95SW,54350,54350,58.329918000000006,0.007436,27/3/2005,27/3/2005,11,11,54350011,54350011,1669,1665,7/4/2005,HEA_21DEC2012_V6.13_SWIFT_REL4.0(BLD29)_14DEC2012_SDCPATCH_13,7/10/2014,3.16.06
