RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:38:46.473;-00:40:21.049;2.65E+20;0.8;-999/-999;17176.0;9.71122e-15;3.69873e-15;4.28292e-15;3.26295e-15;-9.990E+02;9.41844e-15;5.90822e-15;-9.990E+02;1.43235e-14;8.98518e-15;-9.990E+02
01:38:37.830;-00:40:07.261;2.65E+20;0.8;-999/-999;17138.0;1.43976e-14;4.38368e-15;4.61647e-15;3.28712e-15;-9.990E+02;1.69171e-14;7.65094e-15;-9.990E+02;2.0583e-14;1.03427e-14;-9.990E+02
01:39:16.720;-00:37:15.841;2.67E+20;0.8;-999/-999;15367.0;1.32104e-14;4.24948e-15;9.99991e-15;5.00359e-15;-9.990E+02;1.95108e-14;8.46753e-15;-9.990E+02;1.88707e-14;-1.66835e-11;4.91133e-14
01:38:47.065;-00:29:43.173;2.62E+20;0.8;-999/-999;15398.6;2.04713e-14;5.33676e-15;1.20276e-14;5.39408e-15;-9.990E+02;1.76615e-14;7.92077e-15;-9.990E+02;2.68679e-14;1.20496e-14;-9.990E+02
01:39:27.202;-00:35:08.307;2.67E+20;0.8;-999/-999;16277.1;1.39136e-14;4.52364e-15;8.19407e-15;-7.98105e-12;1.8085e-14;1.59856e-14;7.72352e-15;-9.990E+02;3.03827e-14;1.33328e-14;-9.990E+02
01:38:19.342;-00:40:20.971;2.63E+20;0.8;-999/-999;13686.3;2.92808e-14;6.29694e-15;1.87723e-14;6.72318e-15;-9.990E+02;4.12916e-14;1.21608e-14;-9.990E+02;1.04769e-14;7.33116e-15;-9.990E+02
01:38:18.074;-00:39:44.700;2.63E+20;0.8;-999/-999;13325.9;1.83296e-14;5.20182e-15;9.2329e-15;4.97361e-15;-9.990E+02;2.03235e-14;8.89575e-15;-9.990E+02;2.06091e-14;1.11018e-14;-9.990E+02
01:39:27.265;-00:31:05.505;2.66E+20;0.8;-999/-999;17319.7;9.87986e-15;3.97387e-15;4.98273e-15;3.79993e-15;-9.990E+02;7.29755e-15;5.56527e-15;-9.990E+02;1.66509e-14;1.04129e-14;-9.990E+02
01:39:14.551;-00:47:11.060;2.69E+20;-0.338;+0.26/-0.19;7121.0;1.28467e-13;1.8255e-14;1.1944e-14;4.59581e-15;-9.990E+02;5.01471e-14;1.38199e-14;-9.990E+02;2.20113e-13;3.8111e-14;-9.990E+02
01:39:35.834;-00:34:06.296;2.67E+20;0.8;-999/-999;16398.1;4.43043e-14;7.95064e-15;2.88305e-14;8.58864e-15;-9.990E+02;4.21959e-14;1.25702e-14;-9.990E+02;4.58272e-14;1.61718e-14;-9.990E+02
