RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
03:53:17.897;-00:08:04.007;1.300E-04;3.900E-05;258429.0;4.874E-05;2.388E-05;-9.990E+02;2.437E-05;1.671E-05;-9.990E+02;5.686E-05;2.547E-05;-9.990E+02
03:53:31.803;+00:11:57.939;9.884E-04;9.400E-05;104852.0;2.059E-04;4.273E-05;-9.990E+02;2.883E-04;5.127E-05;-9.990E+02;4.942E-04;6.665E-05;-9.990E+02
03:53:27.037;-00:07:26.494;2.542E-04;5.000E-05;245282.0;6.355E-05;2.500E-05;-9.990E+02;1.398E-04;3.707E-05;-9.990E+02;5.084E-05;2.241E-05;-9.990E+02
03:52:40.099;-00:05:17.760;8.013E-04;8.400E-05;140340.0;5.526E-04;7.000E-05;-9.990E+02;1.657E-04;3.827E-05;-9.990E+02;8.290E-05;2.707E-05;-9.990E+02
03:53:15.388;-00:08:17.025;2.200E-04;4.600E-05;261392.0;2.999E-05;1.695E-05;-9.990E+02;1.100E-04;3.309E-05;-9.990E+02;7.999E-05;2.825E-05;-9.990E+02
03:53:52.563;-00:00:49.906;1.745E-04;4.500E-05;249593.0;6.231E-05;2.719E-05;-9.990E+02;6.231E-05;2.719E-05;-9.990E+02;4.985E-05;2.437E-05;-9.990E+02
03:53:54.693;+00:01:40.378;4.113E-04;6.500E-05;190342.0;5.877E-05;2.456E-05;-9.990E+02;1.910E-04;4.406E-05;-9.990E+02;1.616E-04;4.044E-05;-9.990E+02
03:53:35.405;+00:13:08.052;5.926E-03;2.200E-04;60534.4;9.357E-04;8.462E-05;-9.990E+02;1.871E-03;1.269E-04;-9.990E+02;3.119E-03;1.608E-04;-9.990E+02
03:53:52.512;-00:03:48.592;2.905E-04;5.500E-05;226417.0;4.586E-05;-5.495E-02;1.010E-04;1.070E-04;3.385E-05;-9.990E+02;1.835E-04;4.400E-05;-9.990E+02
03:53:07.725;-00:10:07.126;3.571E-04;6.600E-05;153059.0;1.020E-04;3.494E-05;-9.990E+02;1.020E-04;3.494E-05;-9.990E+02;1.531E-04;4.271E-05;-9.990E+02
03:53:26.929;-00:09:37.739;8.469E-04;1.000E-04;109251.0;5.646E-05;2.667E-05;-9.990E+02;2.823E-04;6.000E-05;-9.990E+02;5.081E-04;8.000E-05;-9.990E+02
03:54:02.441;+00:02:49.929;1.146E-03;1.100E-04;131936.0;3.015E-05;1.833E-05;-9.990E+02;3.015E-04;5.775E-05;-9.990E+02;8.142E-04;9.167E-05;-9.990E+02
03:53:04.779;-00:10:27.664;1.003E-03;1.000E-04;131137.0;2.265E-04;4.818E-05;-9.990E+02;3.236E-04;5.818E-05;-9.990E+02;4.530E-04;6.818E-05;-9.990E+02
03:54:05.359;+00:00:14.677;1.646E-03;1.300E-04;131423.0;5.369E-04;7.193E-05;-9.990E+02;4.653E-04;6.673E-05;-9.990E+02;6.442E-04;7.887E-05;-9.990E+02
03:53:35.085;-00:10:46.453;1.903E-03;1.500E-04;81083.6;2.595E-04;5.647E-05;-9.990E+02;4.326E-04;7.235E-05;-9.990E+02;1.211E-03;1.235E-04;-9.990E+02
03:54:02.659;-00:05:15.115;2.351E-03;1.700E-04;84534.9;4.352E-04;7.426E-05;-9.990E+02;1.132E-03;1.163E-04;-9.990E+02;7.835E-04;9.842E-05;-9.990E+02
03:53:59.292;-00:08:45.127;4.179E-03;2.400E-04;63359.7;1.990E-03;1.600E-04;-9.990E+02;1.592E-03;1.422E-04;-9.990E+02;5.970E-04;8.889E-05;-9.990E+02
02:39:22.946;-00:01:21.204;1.145E-01;1.100E-02;1156.0;4.498E-02;6.967E-03;-9.990E+02;4.089E-02;6.600E-03;-9.990E+02;2.862E-02;5.573E-03;-9.990E+02
00:27:49.295;-01:07:05.687;6.267E-04;1.400E-04;61495.8;1.139E-04;5.950E-05;-9.990E+02;2.279E-04;8.400E-05;-9.990E+02;2.849E-04;9.625E-05;-9.990E+02
00:27:47.341;-01:07:00.093;1.505E-03;2.000E-04;59948.6;5.851E-04;1.231E-04;-9.990E+02;5.294E-04;1.154E-04;-9.990E+02;3.901E-04;1.000E-04;-9.990E+02
00:27:59.234;-01:05:20.767;1.502E-03;2.000E-04;59641.7;4.416E-04;1.120E-04;-9.990E+02;7.655E-04;1.440E-04;-9.990E+02;2.944E-04;8.800E-05;-9.990E+02
00:27:40.107;-01:05:27.921;4.674E-04;1.200E-04;61539.8;1.402E-04;6.640E-05;-9.990E+02;9.345E-05;5.360E-05;-9.990E+02;2.337E-04;8.800E-05;-9.990E+02
00:27:38.498;-01:04:53.882;6.812E-04;1.400E-04;60275.5;1.634E-04;7.000E-05;-9.990E+02;2.452E-04;8.167E-05;-9.990E+02;2.724E-04;8.750E-05;-9.990E+02
00:27:28.133;-01:08:30.456;5.503E-04;1.300E-04;60285.3;2.408E-04;8.895E-05;-9.990E+02;2.063E-04;8.211E-05;-9.990E+02;1.032E-04;5.679E-05;-9.990E+02
00:27:30.383;-01:06:33.451;3.618E-04;1.100E-04;60321.2;1.670E-04;7.765E-05;-9.990E+02;1.113E-04;6.147E-05;-9.990E+02;8.347E-05;5.306E-05;-9.990E+02
00:28:14.216;-01:07:56.270;3.867E-04;1.100E-04;58070.4;1.289E-04;6.368E-05;-9.990E+02;1.547E-04;6.947E-05;-9.990E+02;1.031E-04;5.732E-05;-9.990E+02
00:28:09.616;-01:13:38.067;7.137E-04;1.500E-04;54086.5;2.595E-04;9.000E-05;-9.990E+02;1.297E-04;6.600E-05;-9.990E+02;3.244E-04;1.020E-04;-9.990E+02
00:28:10.831;-01:04:59.002;7.720E-04;1.500E-04;51714.3;2.574E-04;8.864E-05;-9.990E+02;3.088E-04;9.545E-05;-9.990E+02;2.058E-04;7.500E-05;-9.990E+02
00:27:25.139;-01:05:13.337;3.827E-04;1.100E-04;59332.7;1.044E-04;5.844E-05;-9.990E+02;3.479E-05;3.369E-05;-9.990E+02;2.435E-04;8.937E-05;-9.990E+02
00:27:43.666;-01:02:05.451;4.419E-04;1.200E-04;52092.0;4.419E-05;3.667E-05;-9.990E+02;3.094E-04;1.000E-04;-9.990E+02;8.837E-05;5.200E-05;-9.990E+02
